conceptFrom,conceptTo,metaOntology,nodeType,Category 1,Category 2,Category 3,Country,First Name,Last Name,Gender,Suffix,Language,Acronym,Valence,Evaluation,Potency,Activity,Affect Mean,Military Role,Political Role,Religious Role ,,,
http://www.stopfake.org/en/fake-ukraine-s-prosecutor-general-disbanding-maidan-investigative-group/,stopfake.org/en/fake-ukraine-s-prosecutor-general-disbanding-maidan-investigative-group/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-to-conscript-suspected-criminals-into-military-service/,stopfake.org/en/fake-ukraine-to-conscript-suspected-criminals-into-military-service/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-to-face-new-language-divisions/,stopfake.org/en/fake-ukraine-to-face-new-language-divisions/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-to-get-limited-eu-visa-free-travel/,stopfake.org/en/fake-ukraine-to-get-limited-eu-visa-free-travel/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-to-sell-land-and-cancel-pensions-for-the-sake-of-imf-bailout/,stopfake.org/en/fake-ukraine-to-sell-land-and-cancel-pensions-for-the-sake-of-imf-bailout/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-to-stop-support-for-crimean-tatar-mejlis/,stopfake.org/en/fake-ukraine-to-stop-support-for-crimean-tatar-mejlis/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-turning-into-europe-s-nuclear-dump/,stopfake.org/en/fake-ukraine-turning-into-europe-s-nuclear-dump/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-uses-video-game-as-evidence-in-icc-suit-against-russia/,stopfake.org/en/fake-ukraine-uses-video-game-as-evidence-in-icc-suit-against-russia/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-will-have-to-return-lviv-to-poland/,stopfake.org/en/fake-ukraine-will-have-to-return-lviv-to-poland/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-won-t-survive-the-winter-without-coal-from-occupied-donbas/,stopfake.org/en/fake-ukraine-won-t-survive-the-winter-without-coal-from-occupied-donbas/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-journalist-arrested-in-russia-is-a-spy/,stopfake.org/en/fake-ukrainian-_Journalist-arrested-in-russia-is-a-spy/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-amassing-military-hardware-near-crimea/,stopfake.org/en/fake-ukrainian-amassing-military-hardware-near-crimea/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-armed-forces-recruiting-mercenaries-from-croatia/,stopfake.org/en/fake-ukrainian-armed-forces-recruiting-mercenaries-from-croatia/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukrainian-armed-forces-soldiers-are-not-receiving-salary-for-more-than-a-month/,stopfake.org/en/fake-ukrainian-armed-forces-soldiers-are-not-receiving-salary-for-more-than-a-month/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
